Political Geography,Year,Fossil Fuel Energy and Cement Manufacture,Fossil Fuel Energy (Supplied),Fossil Fuel Energy (Consumed),Stat Difference (Supplied - Consumed),"Electric, CHP, Heat Plants",Energy Industries' Own Use,"Manufact, Constr, Non-Fuel Industry",Transport,Road Transport,Rail Transport,Domestic Aviation,Domestic Navigation,Other Transport,Household,"Agriculture, Forestry, Fishing",Commerce and Public Services,NES Other Consumption,Bunkered,Bunkered (Marine),Bunkered (Aviation),Flaring of Natural Gas,Manufacture of Cement,Per Capita Total Emissions,REGION
REPUBLIC OF SUDAN,2020,5320,5053,4956,97,1394,17,409,2475,2475,,,,,122,,77,462,97,23,74,,267,,AFRICA
REUNION,2020,24,,,,,,,,,,,,,,,,,,,,,24,,AFRICA
RWANDA,2020,385,330,331,-1,46,,11,178,166,,12,,,30,,,66,14,,14,,55,,AFRICA
SAINT HELENA,2020,5,,5,,2,,,3,3,,,,,,,,,,,,,,1,AFRICA
SAO TOME & PRINCIPE,2020,38,,38,,21,,1,11,10,,1,,,3,2,,,3,,3,,,,AFRICA
SENEGAL,2020,2996,2209,2117,92,862,10,342,752,701,,2,49,,144,,7,,317,199,118,,787,,AFRICA
SEYCHELLES,2020,166,,162,,100,,1,46,42,,4,,,3,,1,11,134,103,31,,,2,AFRICA
SIERRA LEONE,2020,318,279,281,-2,2,,9,182,182,,,,,1,,,87,2,,2,,39,,AFRICA
SOMALIA,2020,163,163,164,-1,81,,23,32,32,,,,,28,,,,48,16,32,,,,AFRICA
SOUTH AFRICA,2020,118618,117277,110603,6674,65652,16277,10967,12102,11084,184,626,195,13,2713,1062,1222,608,3148,2384,764,,1341,2,AFRICA
SWAZILAND,2020,298,,299,,24,,76,169,169,,,,,1,16,13,,1,,1,,,,AFRICA
TOGO,2020,587,414,416,-2,64,,42,291,287,,4,,,17,,2,,45,,45,,173,,AFRICA
TUNISIA,2020,7523,6760,6808,-48,2435,130,1186,1891,1801,8,2,,80,613,311,174,,92,6,86,68,763,1,AFRICA
UGANDA,2020,1777,1359,1386,-27,13,,308,916,857,30,,29,,13,133,3,,48,,48,,418,,AFRICA
UNITED REPUBLIC OF TANZANIA,2020,3907,3181,3215,-34,702,,607,1751,1733,,18,,,133,21,,,63,6,57,1,726,,AFRICA
ZAMBIA,2020,2240,1927,1939,-12,761,6,373,671,671,,,,,7,32,19,70,15,,15,,313,,AFRICA
ZIMBABWE,2020,2150,2007,2045,-38,993,28,263,547,516,31,,,,54,83,,77,15,,15,,143,,AFRICA
AFGHANISTAN,2020,3236,3228,3200,28,46,,1217,1335,1291,,44,,,566,,18,18,10,,10,,8,,ASIA PACIFIC
AUSTRALIA,2020,101037,100292,98636,1656,46286,10052,10187,24903,21113,920,1870,577,423,2609,1471,1329,26,3689,576,3113,1773,745,4,ASIA PACIFIC
BANGLADESH,2020,28489,25163,22299,2864,12233,69,4307,2729,2062,278,,386,3,2081,775,101,4,422,127,295,,3326,,ASIA PACIFIC
BHUTAN,2020,249,163,165,-2,,,55,102,22,,,,80,8,,,,1,,1,,86,,ASIA PACIFIC
BRUNEI (DARUSSALAM),2020,3124,3098,2579,519,1334,641,98,322,322,,,,,25,,,13,37,5,32,146,26,7,ASIA PACIFIC
CAMBODIA,2020,4573,3736,3569,167,1168,,277,1806,1516,193,15,54,28,149,,74,95,36,,36,,837,,ASIA PACIFIC
CHINA (MAINLAND),2020,2915650,2696253,2312873,383380,1325686,144169,451903,178743,118355,3263,24124,20641,12360,122376,26467,225,63304,13570,9491,4079,,219397,2,ASIA PACIFIC
COOK ISLANDS,2020,18,,19,,6,,,13,5,,2,2,4,,,,,6,1,5,,,1,ASIA PACIFIC
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,2020,13606,13003,12763,240,830,12,7869,1239,281,,,,958,1290,238,388,897,,,,,603,1,ASIA PACIFIC
FEDERATED STATES OF MICRONESIA,2020,40,,39,,16,,,22,13,,1,8,,,,,1,8,3,5,,,,ASIA PACIFIC
FIJI,2020,284,274,273,1,70,,49,132,107,,8,17,,20,,2,,28,19,9,,10,,ASIA PACIFIC
FRENCH POLYNESIA,2020,231,,231,,90,,,124,97,,9,,18,9,8,,,,,,,,1,ASIA PACIFIC
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,2020,9145,8986,8859,127,5752,,385,1802,1798,,4,,,650,,156,114,9078,6189,2889,,159,1,ASIA PACIFIC
INDIA,2020,650069,619555,548002,71553,235578,17206,177268,34940,26165,1024,2029,5486,236,23539,770,1291,56992,2356,1264,1092,418,30514,,ASIA PACIFIC
INDONESIA,2020,178159,171428,158842,12586,75249,4584,38459,15387,13028,167,1474,718,,20238,337,1232,55,677,299,378,3301,6731,1,ASIA PACIFIC
JAPAN,2020,272364,265616,239822,25794,117020,6712,35176,48998,44984,132,1390,2492,,15019,3597,13300,,6423,4168,2255,,6748,2,ASIA PACIFIC
KIRIBATI,2020,18,,22,,6,,,10,8,,1,1,,2,3,1,,1,,1,,,,ASIA PACIFIC
LAO PEOPLE S DEMOCRATIC REPUBLIC,2020,5380,4727,4729,-2,3471,,220,824,814,,10,,,10,44,7,153,31,,31,,653,1,ASIA PACIFIC
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,2020,282,282,248,34,57,,25,88,88,,,,,14,,5,59,3,3,,,,,ASIA PACIFIC
MALAYSIA,2020,71797,69685,61072,8613,31196,3232,8353,16167,16013,,154,,,486,675,438,,861,326,535,525,2112,2,ASIA PACIFIC
MALDIVES,2020,450,,451,,176,,17,247,145,,10,92,,11,,,,62,53,9,,,1,ASIA PACIFIC
MARSHALL ISLANDS,2020,40,,39,,16,,,23,23,,,,,,,,,2,,2,,,1,ASIA PACIFIC
MONGOLIA,2020,10101,9976,11164,-1188,3230,,95,510,491,,3,,16,314,3,287,6725,14,,14,,125,3,ASIA PACIFIC
MYANMAR (FORMERLY BURMA),2020,9465,8821,9890,-1069,3598,394,1484,3599,3499,36,64,,,391,100,51,260,14,,14,13,644,,ASIA PACIFIC
NAURU,2020,14,,15,,7,,,4,,,,,4,,,,4,6,3,3,,,1,ASIA PACIFIC
NEPAL,2020,4082,3208,3089,119,,,1123,1318,1310,,8,,,246,219,183,,39,,39,,874,,ASIA PACIFIC
NEW CALEDONIA,2020,1344,1336,1228,108,781,,267,164,147,,4,13,,7,4,5,,17,7,10,,8,5,ASIA PACIFIC
NEW ZEALAND,2020,9195,8879,8004,875,1315,349,1699,3703,3419,28,185,71,,168,447,309,,574,149,425,14,316,2,ASIA PACIFIC
NIUE,2020,2,,2,,1,,,1,1,,,,,,,,,,,,,,1,ASIA PACIFIC
PAKISTAN,2020,54407,49810,46564,3246,14190,307,13623,12360,11576,192,592,,,5016,10,911,147,240,19,221,,4597,,ASIA PACIFIC
PALAU,2020,58,,58,,19,,,37,11,,,26,,2,,,,5,,5,,,3,ASIA PACIFIC
PAPUA NEW GUINEA,2020,2094,2080,2087,-7,689,378,470,418,354,,64,,,29,83,20,,56,5,51,,14,,ASIA PACIFIC
PHILIPPINES,2020,36252,33816,33732,84,19328,219,3153,7796,6964,2,186,644,,969,181,2086,,581,89,492,,2436,,ASIA PACIFIC
REPUBLIC OF KOREA,2020,160069,154475,128875,25600,67277,6290,13991,27048,25955,65,766,262,,8430,1120,3868,851,10794,8373,2421,,5594,3,ASIA PACIFIC
SAMOA,2020,66,,67,,20,,4,36,31,,,5,,3,1,3,,4,,4,,,,ASIA PACIFIC
SINGAPORE,2020,14960,14960,11741,3219,5202,1260,3488,1631,1553,,,77,1,61,,97,2,44277,42607,1670,,,3,ASIA PACIFIC
SOLOMON ISLANDS,2020,79,,80,,20,,5,51,43,,1,7,,,4,,,8,5,3,,,,ASIA PACIFIC
SRI LANKA,2020,5634,5353,5507,-154,2393,23,289,2311,2234,22,3,52,,423,,68,,469,309,160,,281,,ASIA PACIFIC
TAIWAN,2020,67946,66697,64037,2660,41379,2923,7459,9768,9659,,60,49,,1217,355,821,115,2609,1014,1595,,1249,3,ASIA PACIFIC
THAILAND,2020,75175,70860,66306,4554,21605,5831,13661,21554,20923,71,383,177,,1366,1879,410,,2333,885,1448,,4315,1,ASIA PACIFIC
TIMOR-LESTE (FORMERLY EAST TIMOR),2020,179,,179,,79,,,80,30,,,,50,,,,1,3,,3,19,,,ASIA PACIFIC
TONGA,2020,50,,51,,13,,,36,15,,,,21,2,,,,,,,,,,ASIA PACIFIC
TUVALU,2020,3,,2,,2,,,,,,,,,,,,,,,,,,,ASIA PACIFIC
VANUATU,2020,55,,56,,11,,,43,40,,,3,,2,,,,13,4,9,,,,ASIA PACIFIC
VIET NAM,2020,94323,82429,80152,2277,38314,812,26003,9575,8316,40,832,373,14,1943,448,1451,1606,855,125,730,,11894,1,ASIA PACIFIC
WALLIS AND FUTUNA ISLANDS,2020,7,,7,,4,,,2,2,,,,,,,,1,1,,1,,,1,ASIA PACIFIC
ARMENIA,2020,1826,1742,1689,53,379,3,119,607,607,,,,,382,54,34,111,32,,32,,84,1,COMMONWEALTH OF INDEPENDENT STATES
AZERBAIJAN,2020,10527,10148,9162,986,3212,438,590,1834,1687,3,111,33,,1993,345,121,,315,28,287,629,379,1,COMMONWEALTH OF INDEPENDENT STATES
BELARUS,2020,15701,15076,13980,1096,7363,789,1212,2857,2527,127,13,1,189,1063,604,92,,91,,91,,625,2,COMMONWEALTH OF INDEPENDENT STATES
KAZAKHSTAN,2020,56644,55444,53337,2107,27638,2993,6618,5693,5604,10,73,,6,7935,531,1929,,271,95,176,,1200,3,COMMONWEALTH OF INDEPENDENT STATES
KYRGYZSTAN,2020,2255,2036,1981,55,393,17,122,700,364,5,3,,328,646,3,94,6,2,,2,,219,,COMMONWEALTH OF INDEPENDENT STATES
REPUBLIC OF MOLDOVA,2020,1413,1268,1253,15,195,,96,540,532,4,,,4,263,95,64,,15,,15,,145,,COMMONWEALTH OF INDEPENDENT STATES
RUSSIAN FEDERATION,2020,484656,479123,421678,57445,202538,21469,64469,63221,39724,3129,3913,360,16095,51497,3551,5038,2,9791,5795,3996,9893,5533,3,COMMONWEALTH OF INDEPENDENT STATES
TAJIKISTAN,2020,2469,1973,1979,-6,546,,327,451,450,1,,,,204,,,451,21,,21,,496,,COMMONWEALTH OF INDEPENDENT STATES
TURKMENISTAN,2020,17645,17423,16675,748,4368,1380,226,3251,2131,,85,,1035,126,,3548,3776,137,,137,,222,3,COMMONWEALTH OF INDEPENDENT STATES
UZBEKISTAN,2020,29701,28234,26195,2039,8762,1440,2775,4086,3740,89,4,,253,6028,165,1579,1360,95,,95,,1467,1,COMMONWEALTH OF INDEPENDENT STATES
ALBANIA,2020,1294,1009,1089,-80,3,37,258,588,558,2,,28,,84,77,42,,40,26,14,,285,,EUROPE
ANDORRA,2020,102,,105,,,,,67,67,,,,,38,,,,,,,,,1,EUROPE
AUSTRIA,2020,15387,14887,13261,1626,1874,679,2292,6177,5977,24,25,24,127,1678,198,363,,262,11,251,,500,2,EUROPE
BELGIUM,2020,24232,23548,20797,2751,2772,1292,4258,6249,6064,17,3,150,15,4024,432,1742,28,6547,5574,973,,684,2,EUROPE
BOSNIA & HERZEGOVINA,2020,5695,5568,5114,454,3507,111,313,971,971,,,,,113,34,65,,3,,3,,127,2,EUROPE
BULGARIA,2020,9536,9252,8898,354,4558,299,1073,2595,2557,9,7,,22,175,113,85,,188,73,115,,284,1,EUROPE
CROATIA,2020,4432,4098,3859,239,758,234,553,1586,1538,11,4,33,,389,187,152,,61,17,44,,334,1,EUROPE
CYPRUS,2020,1785,1544,1553,-9,793,5,117,498,497,,1,,,87,23,23,7,314,237,77,,241,1,EUROPE
CZECH REPUBLIC,2020,23294,22789,21746,1043,10865,604,2342,5085,4964,61,33,3,24,1799,321,699,31,94,,94,,505,2,EUROPE
DENMARK,2020,6685,6367,6765,-398,1089,433,948,3227,3054,52,13,97,11,512,347,154,31,751,477,274,24,318,1,EUROPE
ESTONIA,2020,2659,2654,1869,785,892,34,120,638,624,8,1,5,,41,75,69,,260,240,20,,5,2,EUROPE
FAEROE ISLANDS,2020,207,,208,,44,,23,29,29,,,,,32,70,10,,46,46,,,,4,EUROPE
FINLAND,2020,10136,9974,8987,987,2634,610,1653,3134,2998,17,23,93,3,239,324,214,179,503,269,234,,162,2,EUROPE
FRANCE (INCLUDING MONACO),2020,72604,71001,67385,3616,6393,1711,9390,31093,29812,87,843,351,,10234,2902,5270,392,3043,857,2186,,1603,1,EUROPE
GEORGIA,2020,2916,2630,2489,141,325,,440,1018,919,2,,,97,598,13,95,,50,3,47,,286,1,EUROPE
GERMANY,2020,163396,159817,148985,10832,47860,5184,19356,41468,40497,208,243,221,299,24582,2030,8456,42,4955,1147,3808,7,3579,2,EUROPE
GIBRALTAR,2020,172,,172,,29,,,143,143,,,,,,,,,3715,3712,3,,,5,EUROPE
GREECE,2020,13482,12666,13063,-397,4771,1143,1130,4216,3697,6,74,439,,1331,43,155,274,1732,1436,296,,816,1,EUROPE
HUNGARY,2020,12446,12186,11326,860,2502,518,1585,3585,3520,28,1,3,33,1989,434,693,20,84,,84,,260,1,EUROPE
ICELAND,2020,518,,408,,1,,16,248,238,,3,7,,2,140,1,,91,20,71,,,1,EUROPE
IRELAND,2020,8995,8530,8636,-106,2292,110,981,2826,2703,26,3,85,9,1794,157,476,,451,130,321,,465,2,EUROPE
ISLE OF MAN,2020,70,,70,,56,,,,,,,,,14,,,,,,,,,,EUROPE
ITALY (INCLUDING SAN MARINO),2020,74851,72950,72865,85,21903,2915,7277,22863,21947,36,280,478,122,11424,1883,4576,24,3396,2151,1245,,1901,1,EUROPE
KOSOVO,2020,2349,2257,2254,3,1634,,190,348,347,1,,,,13,17,52,,2,,2,,92,1,EUROPE
LATVIA,2020,1763,1609,1689,-80,355,12,122,857,832,23,,2,,112,128,100,3,222,174,48,,154,1,EUROPE
LIECHTENSTEIN,2020,13,,13,,,,,,,,,,,,,,13,,,,,,,EUROPE
LITHUANIA,2020,3638,3491,3020,471,271,383,305,1735,1670,45,,3,17,189,59,70,8,203,159,44,,147,1,EUROPE
LUXEMBOURG,2020,2172,2061,2064,-3,39,,206,1384,1381,3,,,,273,16,146,,454,,454,,111,3,EUROPE
MACEDONIA,2020,1898,1898,1901,-3,1065,2,248,530,521,1,8,,,8,10,,38,,,,,,1,EUROPE
MALTA,2020,432,,441,,218,,15,165,154,,1,10,,12,6,25,,1980,1930,50,,,1,EUROPE
MONTENEGRO,2020,657,,657,,406,,52,183,183,,,,,4,3,9,,4,,4,,,1,EUROPE
NETHERLANDS,2020,37725,37725,33290,4435,9460,2786,5960,7516,7319,18,7,172,,3977,1762,1768,52,12030,10207,1823,9,,2,EUROPE
NORWAY,2020,10701,10501,9441,1060,216,3402,1443,3580,2579,11,189,801,,5,350,241,25,354,210,144,179,200,2,EUROPE
POLAND,2020,76432,74393,72455,1938,34338,2202,5973,17547,17257,68,15,1,206,8095,2742,1546,,635,255,380,12,2039,2,EUROPE
PORTUGAL,2020,10743,10094,9956,138,2897,579,1310,4069,3927,8,71,63,,529,331,220,21,1041,606,435,,649,1,EUROPE
ROMANIA,2020,17988,16927,16628,299,4915,808,2605,5261,5107,92,28,34,,1957,367,548,167,71,36,35,,1061,1,EUROPE
SERBIA,2020,12327,12060,11558,502,8115,291,692,1752,1739,8,,4,1,412,84,212,,80,14,66,,267,2,EUROPE
SLOVAKIA,2020,7803,7385,6328,1057,1347,549,1284,2026,1948,,,,78,778,64,276,,24,,24,4,418,1,EUROPE
SLOVENIA,2020,3243,3112,3177,-65,1172,1,393,1292,1288,4,,,,174,56,70,19,110,101,9,,131,2,EUROPE
SPAIN,2020,55383,53160,52303,857,10167,4970,7797,21074,19517,49,763,673,72,4156,1983,2011,145,6776,5497,1279,,2223,1,EUROPE
SWEDEN,2020,8870,8524,8066,458,260,608,1476,4955,4802,12,50,91,,195,299,273,,2474,2189,285,,346,1,EUROPE
SWITZERLAND,2020,8570,8126,8040,86,114,103,856,4071,4003,8,37,15,8,1871,,894,131,570,1,569,,444,1,EUROPE
SWITZERLAND,2020,8570,8126,8040,86,114,103,856,4071,4003,8,37,15,8,1871,,894,131,570,1,569,,444,1,EUROPE
TURKEY,2020,107313,96302,92958,3344,35547,2536,15829,21308,20239,77,568,333,91,9139,2721,5876,,2023,457,1566,2,11011,1,EUROPE
UKRAINE,2020,47790,46704,38545,8159,18776,950,6653,5922,5421,21,,80,400,4234,916,1094,,28,28,,,1086,1,EUROPE
UNITED KINGDOM,2020,82709,81723,79822,1901,14976,5760,7659,26896,25786,453,293,364,,16844,740,5481,796,5571,1601,3970,670,986,1,EUROPE
,,,,,,262323,41964,116049,274846,263397,1504,3624,4678,1643,116027,22457,45146,2577,61808,39892,21916,907,34164,,
BAHRAIN,2020,10102,10027,8622,1405,6198,882,575,909,874,,35,,,58,,,,245,,245,,75,7,MIDDLE EAST
IRAQ,2020,44585,41162,41608,-446,16141,3361,2752,7646,7628,,18,,,2587,,,,463,222,241,9121,3423,1,MIDDLE EAST
ISLAMIC REPUBLIC OF IRAN,2020,198727,190377,168999,21378,41999,11446,25941,34726,33977,,491,,258,28734,3181,4597,,1488,1223,265,18375,8350,2,MIDDLE EAST
ISRAEL,2020,15408,14767,15163,-396,8767,593,1031,4325,4268,49,8,,,131,,53,263,689,340,349,,641,2,MIDDLE EAST
JORDAN,2020,5856,5450,5386,64,2188,150,388,1919,1833,,84,,2,453,,116,172,74,37,37,,406,1,MIDDLE EAST
KUWAIT,2020,26768,26352,24278,2074,12271,4489,3466,3462,3462,,,,,202,,,,801,437,364,388,416,6,MIDDLE EAST
LEBANON,2020,6088,5849,5850,-1,3223,,255,1707,1707,,,,,665,,,,246,25,221,,239,1,MIDDLE EAST
OCCUPIED PALESTINIAN TERRITORY,2020,908,,906,,115,,17,599,599,,,,,146,9,20,,,,,,,,MIDDLE EAST
OMAN,2020,18055,17293,18390,-1097,3966,2575,3276,2686,2678,,8,,,175,,3767,624,304,174,130,1321,762,4,MIDDLE EAST
QATAR,2020,28167,27690,22994,4696,6352,8262,4569,3123,3123,,,,,111,,,,2629,,2629,577,477,10,MIDDLE EAST
SAUDI ARABIA,2020,165097,158566,144984,13582,66820,5753,26140,32172,30513,,1659,,,1138,,,12944,5415,2344,3071,17,6531,5,MIDDLE EAST
SYRIAN ARAB REPUBLIC,2020,7302,7009,6532,477,2927,173,668,1378,1306,,72,,,512,149,103,64,229,221,8,558,293,,MIDDLE EAST
UNITED ARAB EMIRATES,2020,62271,60449,48571,11878,19246,618,19921,8199,7940,,259,,,253,,,,17882,14088,3794,334,1822,7,MIDDLE EAST
YEMEN,2020,2569,2361,2315,46,505,100,300,726,726,,,,,569,50,65,,81,77,4,,208,,MIDDLE EAST
CANADA,2020,150623,148833,137745,11088,20588,31201,16259,44706,37179,1721,2678,998,2130,9852,4442,9538,,678,402,276,1159,1790,4,NORTH AMERICA
GREENLAND,2020,150,,148,,23,,7,34,13,,8,13,,28,42,13,1,17,17,,,,3,NORTH AMERICA
MEXICO,2020,118811,113927,95020,18907,33315,11155,13253,28559,27880,322,8,349,,4187,1548,1193,,1693,133,1560,1810,4884,1,NORTH AMERICA
ST. PIERRE & MIQUELON,2020,17,,17,,10,,,7,3,,,,4,,,,,3,3,,,,3,NORTH AMERICA
UNITED STATES OF AMERICA,2020,1223749,1212645,1172807,39838,403164,64133,113636,439324,380829,8995,29423,5283,14794,80142,9930,56308,,26358,13640,12718,6170,11104,4,NORTH AMERICA
ANGUILLA,2020,39,,37,,18,,,12,6,,,6,,7,,,,6,4,2,,,2,SOUTH AND CENTRAL AMERICA
ANTIGUA & BARBUDA,2020,169,,170,,80,,,62,39,,2,21,,28,,,,100,61,39,,,2,SOUTH AND CENTRAL AMERICA
ARGENTINA,2020,45636,44624,40919,3705,8926,3924,4545,13817,12591,,493,313,420,5474,2861,794,,1041,112,929,578,1012,1,SOUTH AND CENTRAL AMERICA
ARUBA,2020,243,,243,,179,,,54,54,,,,,3,,,7,78,10,68,,,2,SOUTH AND CENTRAL AMERICA
BAHAMAS,2020,596,,594,,338,,73,111,111,,,,,9,,54,9,349,129,220,,,1,SOUTH AND CENTRAL AMERICA
BARBADOS,2020,333,315,316,-1,129,2,74,90,90,,,,,7,,11,,,,,3,18,1,SOUTH AND CENTRAL AMERICA
BELIZE,2020,167,,166,,13,,14,118,110,,,,8,18,,3,,21,,21,,,,SOUTH AND CENTRAL AMERICA
BERMUDA,2020,125,,127,,90,,1,18,16,,,2,,18,,,,18,6,12,,,2,SOUTH AND CENTRAL AMERICA
"BONAIRE, SAINT EUSTATIUS, AND SABA",2020,31,,32,,21,,3,7,7,,,,,1,,,,32,30,2,,,1,SOUTH AND CENTRAL AMERICA
BRAZIL,2020,112682,106518,117762,-11244,12731,8037,24520,59898,56472,908,1587,931,,5248,6047,112,443,4114,3280,834,726,6164,1,SOUTH AND CENTRAL AMERICA
BRITISH VIRGIN ISLANDS,2020,44,,44,,28,,,13,9,,,,4,3,,,,,,,,,1,SOUTH AND CENTRAL AMERICA
CAYMAN ISLANDS,2020,170,,170,,119,,,48,47,,1,,,3,,,,13,,13,,,3,SOUTH AND CENTRAL AMERICA
CHILE,2020,22077,21638,21900,-262,9113,414,3660,6724,6155,33,264,272,,1177,337,472,,357,27,330,3,439,1,SOUTH AND CENTRAL AMERICA
COLOMBIA,2020,24291,23076,20384,2692,4803,1015,4122,8002,7867,,8,13,114,1192,52,228,808,605,101,504,162,1215,,SOUTH AND CENTRAL AMERICA
COSTA RICA,2020,1842,1743,1755,-12,5,,297,1327,1319,1,5,2,,59,34,29,4,84,,84,,99,,SOUTH AND CENTRAL AMERICA
CUBA,2020,5778,5674,5833,-159,3653,12,1394,175,147,,3,,25,282,66,92,159,324,306,18,,104,1,SOUTH AND CENTRAL AMERICA
CURACAO,2020,493,,532,,116,,107,270,270,,,,,39,,,,1409,1378,31,,,3,SOUTH AND CENTRAL AMERICA
DOMINICA,2020,43,,45,,24,,3,13,13,,,,,2,1,2,,2,1,1,,,1,SOUTH AND CENTRAL AMERICA
DOMINICAN REPUBLIC,2020,6395,5864,5704,160,2444,25,850,1874,1856,,18,,,388,54,69,,174,,174,,531,1,SOUTH AND CENTRAL AMERICA
ECUADOR,2020,8747,8234,8248,-14,1217,429,708,3989,3761,,35,193,,723,100,136,624,245,133,112,322,513,1,SOUTH AND CENTRAL AMERICA
EL SALVADOR,2020,1796,1694,1575,119,175,,313,888,888,,,,,192,,7,,58,,58,,102,,SOUTH AND CENTRAL AMERICA
